team_id,team_name,combo_type,position_group,member_ids,member_names,member_count,co_starts,co_points_mean,co_goal_diff_mean,member_baseline_points_mean,member_baseline_goal_diff_mean,points_delta_vs_member_baseline,goal_diff_delta_vs_member_baseline,eligible,association_direction,anti_synergy_candidate,sample_reason,causal_claim,temporal_authority,research_only,creates_signal,probability_mutation,eligibility_mutation,stake_changes
1393,Union St. Gilloise,LINE,D,19850|20176|290546,C. Burgess|R. Sykes|F. Leysen,3,1,3.0,2.0,2.555,1.755,,,false,UNKNOWN,false,INSUFFICIENT_PRIOR_SAMPLE_COMBO_1_MEMBER_MIN_5,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,LINE,D,19850|20176|5967,C. Burgess|R. Sykes|K. Mac Allister,3,3,3.0,2.333,2.593,1.816,,,false,UNKNOWN,false,INSUFFICIENT_PRIOR_SAMPLE_COMBO_3_MEMBER_MIN_5,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,LINE,D,19850|290546|5967,C. Burgess|F. Leysen|K. Mac Allister,3,7,2.0,0.857,2.36,1.449,-0.36,-0.592,true,NEGATIVE,true,OK,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,LINE,D,20176|290546|5967,R. Sykes|F. Leysen|K. Mac Allister,3,2,3.0,3.0,2.572,1.828,,,false,UNKNOWN,false,INSUFFICIENT_PRIOR_SAMPLE_COMBO_2_MEMBER_MIN_5,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,LINE,F,127414|270201|313353,A. Ait El Hadj|R. Florucz|P. David,3,2,3.0,1.5,2.509,1.528,,,false,UNKNOWN,false,INSUFFICIENT_PRIOR_SAMPLE_COMBO_2_MEMBER_MIN_5,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,LINE,F,127414|270201|361966,A. Ait El Hadj|R. Florucz|K. Rodriguez,3,6,2.167,1.667,2.361,1.602,-0.194,0.065,true,MIXED,false,OK,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,LINE,F,127414|313353|361966,A. Ait El Hadj|P. David|K. Rodriguez,3,2,2.0,0.5,2.435,1.491,,,false,UNKNOWN,false,INSUFFICIENT_PRIOR_SAMPLE_COMBO_2_MEMBER_MIN_5,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,LINE,F,127414|313353|455438,A. Ait El Hadj|P. David|M. Giger,3,1,3.0,2.0,2.694,1.806,,,false,UNKNOWN,false,INSUFFICIENT_PRIOR_SAMPLE_COMBO_1_MEMBER_MIN_5,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,LINE,F,127414|361966|455438,A. Ait El Hadj|K. Rodriguez|M. Giger,3,1,3.0,3.0,2.546,1.88,,,false,UNKNOWN,false,INSUFFICIENT_PRIOR_SAMPLE_COMBO_1_MEMBER_MIN_5,false,RETROSPECTIVE_ONLY,true,false,false,false,false
1393,Union St. Gilloise,LINE,F,270201|313353|8939,R. Florucz|P. David|R. Schoofs,3,1,3.0,2.0,2.704,1.667,,,false,UNKNOWN,false,INSUFFICIENT_PRIOR_SAMPLE_COMBO_1_MEMBER_MIN_5,false,RETROSPECTIVE_ONLY,true,false,false,false,false
