team_id,team_name,season,player_id,player_name,firstname,lastname,birth_date,birth_place,birth_country,nationality,height,weight,injured,photo_url,captured_at_utc,source
1004,Kasımpaşa,2026,10563,Cláudio Winck,Cláudio,Winck Neto,1994-04-15,Portão,Brazil,Brazil,184,77,false,https://media.api-sports.io/football/players/10563.png,2026-09-18T18:22:04Z,api-football:/players?team&season
1004,Kasımpaşa,2026,1588,A. Gianniotis,Andreas,Gianniotis,1992-12-18,Serres,Greece,Greece,190,78,false,https://media.api-sports.io/football/players/1588.png,2026-09-18T18:22:04Z,api-football:/players?team&season
1004,Kasımpaşa,2026,178886,M. Ilie,Matei Cristian,Ilie,2002-12-11,Piatra Neamnt,Romania,Romania,,,false,https://media.api-sports.io/football/players/178886.png,2026-09-18T18:22:04Z,api-football:/players?team&season
1004,Kasımpaşa,2026,2005,G. Yalçın,Güven,Yalçın,1999-01-18,Düsseldorf,Germany,Türkiye,184,77,false,https://media.api-sports.io/football/players/2005.png,2026-09-18T18:22:04Z,api-football:/players?team&season
1004,Kasımpaşa,2026,21149,K. Mouanga,Kévin,Mouanga,2000-07-24,,France,France,190,85,false,https://media.api-sports.io/football/players/21149.png,2026-09-18T18:22:04Z,api-football:/players?team&season
1004,Kasımpaşa,2026,280495,A. Müjde,Atakan,Müjde,2003-10-25,Sakarya,Türkiye,Türkiye,182,68,false,https://media.api-sports.io/football/players/280495.png,2026-09-18T18:22:04Z,api-football:/players?team&season
1004,Kasımpaşa,2026,284449,J. Rak-Sakyi,Jesurun,Rak-Sakyi,2002-10-05,London,England,England,178,,false,https://media.api-sports.io/football/players/284449.png,2026-09-18T18:22:04Z,api-football:/players?team&season
1004,Kasımpaşa,2026,329642,T. Diarra,Thiemoko,Diarra,2003-04-19,Bamako,Mali,Mali,176,65,false,https://media.api-sports.io/football/players/329642.png,2026-09-18T18:22:04Z,api-football:/players?team&season
1004,Kasımpaşa,2026,338745,M. Rafferty,Marcus Albin John,Rafferty,2004-10-01,,Sweden,Sweden,180,,false,https://media.api-sports.io/football/players/338745.png,2026-09-18T18:22:04Z,api-football:/players?team&season
1004,Kasımpaşa,2026,380253,A. Karapo,Ayberk,Karapo,2004-07-21,Manisa,Türkiye,Türkiye,186 cm,78 kg,false,https://media.api-sports.io/football/players/380253.png,2026-09-18T18:22:04Z,api-football:/players?team&season
1004,Kasımpaşa,2026,393977,A. Arous,Adam,Arous,2004-07-17,,Tunisia,Tunisia,,,false,https://media.api-sports.io/football/players/393977.png,2026-09-18T18:22:04Z,api-football:/players?team&season
1004,Kasımpaşa,2026,40592,A. Benedyczak,Adrian Dawid,Benedyczak,2000-11-24,Kamień Pomorski,Poland,Poland,191,78,false,https://media.api-sports.io/football/players/40592.png,2026-09-18T18:22:04Z,api-football:/players?team&season
1004,Kasımpaşa,2026,416100,T. Aydın,Taylan Utku,Aydın,2006-02-10,İstanbul,Türkiye,Türkiye,180,75,false,https://media.api-sports.io/football/players/416100.png,2026-09-18T18:22:04Z,api-football:/players?team&season
1004,Kasımpaşa,2026,428299,J. Jessen,Jakob,Vestergaard Jessen,2004-03-05,,Denmark,Denmark,184,,false,https://media.api-sports.io/football/players/428299.png,2026-09-18T18:22:04Z,api-football:/players?team&season
